id;C;wk;class
i1;0.871;3.312;+
i2;0.8811;3.333;+
i3;0.905;3.337;+
i4;0.8955;3.379;+
i5;0.9034;3.562;+
i6;0.8951;3.312;+
i7;0.8799;3.259;+
i8;0.8911;3.302;+
i9;0.8747;3.465;+
i10;0.888;3.505;+
i11;0.8696;3.242;+
i12;0.8796;3.201;+
i13;0.888;3.199;+
i14;0.8759;3.156;+
i15;0.8744;3.114;+
i16;0.8993;3.333;+
i17;0.9183;3.383;+
i18;0.9058;3.514;+
i19;0.9153;3.466;+
i20;0.8686;3.049;+
i21;0.8584;3.129;+
i22;0.8722;3.168;+
i23;0.8988;3.507;+
i24;0.8664;2.936;+
i25;0.8657;3.245;+
i26;0.8849;3.421;+
i27;0.8641;3.026;+
i28;0.8564;2.956;+
i29;0.882;3.221;+
i30;0.8604;3.065;+
i31;0.8662;2.975;+
i32;0.8724;3.371;+
i33;0.8529;3.186;+
i34;0.8728;3.15;+
i35;0.8779;3.328;+
i36;0.9;3.485;+
i37;0.8734;3.464;+
i38;0.9079;3.683;+
i39;0.8823;3.288;+
i40;0.8944;3.298;+
i41;0.8871;3.156;+
i42;0.8852;3.158;+
i43;0.9009;3.201;+
i44;0.882;3.396;+
i45;0.8986;3.462;+
i46;0.8794;3.155;+
i47;0.8861;3.393;+
i48;0.8883;3.377;+
i49;0.8819;3.291;+
i50;0.8676;3.258;+
i51;0.8751;3.272;+
i52;0.8923;3.434;+
i53;0.8538;3.113;+
i54;0.8831;3.199;+
i55;0.8557;3.113;+
i56;0.8658;3.212;+
i57;0.8818;3.377;+
i58;0.9006;3.412;+
i59;0.8857;3.419;+
i60;0.8392;3.032;+
i61;0.8683;2.85;+
i62;0.884;2.879;+
i63;0.8923;3.042;+
i64;0.868;3.07;+
i65;0.8716;3.026;+
i66;0.8879;3.119;+
i67;0.8726;3.19;+
i68;0.8625;3.158;+
i69;0.8726;3.153;+
i70;0.8458;2.882;+
i71;0.8673;3.561;-
i72;0.8623;3.484;-
i73;0.8763;3.594;-
i74;0.9081;3.93;-
i75;0.8786;3.486;-
i76;0.8638;3.438;-
i77;0.8599;3.403;-
i78;0.8763;3.814;-
i79;0.875;3.639;-
i80;0.8892;3.566;-
i81;0.8823;3.467;-
i82;0.8977;3.857;-
i83;0.8894;3.864;-
i84;0.8779;3.772;-
i85;0.878;3.801;-
i86;0.887;3.651;-
i87;0.8969;3.764;-
i88;0.859;3.67;-
i89;0.8989;4.033;-
i90;0.9031;4.032;-
i91;0.8746;3.785;-
i92;0.8984;3.796;-
i93;0.8906;3.693;-
i94;0.9066;3.86;-
i95;0.8452;3.485;-
i96;0.8648;3.463;-
i97;0.8815;3.81;-
i98;0.8687;3.552;-
i99;0.8637;3.512;-
i100;0.881;3.684;-
i101;0.8866;3.525;-
i102;0.8992;3.694;-
i103;0.8985;3.892;-
i104;0.8717;3.681;-
i105;0.8829;3.755;-
i106;0.8917;3.786;-
i107;0.9056;3.806;-
i108;0.88;3.573;-
i109;0.8752;3.763;-
i110;0.8865;3.674;-
i111;0.8921;3.769;-
i112;0.8716;3.791;-
i113;0.9035;3.902;-
i114;0.8722;3.737;-
i115;0.8859;3.991;-
i116;0.8854;3.719;-
i117;0.9077;3.897;-
i118;0.889;3.815;-
i119;0.9008;3.769;-
i120;0.8811;3.857;-
i121;0.8897;3.962;-
i122;0.8772;3.563;-
i123;0.8588;3.387;-
i124;0.9077;3.771;-
i125;0.9064;3.582;-
i126;0.8999;3.869;-
i127;0.8698;3.594;-
i128;0.8993;3.687;-
i129;0.8735;3.773;-
i130;0.8991;3.69;-
i131;0.9108;3.755;-
i132;0.8942;3.825;-
i133;0.8706;3.268;-
i134;0.8644;3.395;-
i135;0.8823;3.408;-
i136;0.899;3.465;-
i137;0.8785;3.574;-
i138;0.8527;3.231;-
i139;0.858;3.286;-
i140;0.885;3.472;-
